,quantile,sample,celltype,values
347,1,A0267_S11_L001,NK,0.02873734
348,1,A0267_S11_L001,Neutro,0.0038140102
349,1,A0267_S11_L001,Plasma BC,0.01998503
350,1,A0267_S11_L001,Pre BC,0.047557563
351,1,A0281_S10_L001,CD4+ TC,0.036139317
352,1,A0281_S10_L001,CD8+ TC,0.07833587
353,1,A0281_S10_L001,Cycling,0.04083826
354,1,A0281_S10_L001,Mature BC,0.48412257
355,1,A0281_S10_L001,Mono,0.23982245
356,1,A0281_S10_L001,NK,0.02559379
357,1,A0281_S10_L001,Neutro,0.004098384
358,1,A0281_S10_L001,Plasma BC,0.034995787
359,1,A0281_S10_L001,Pre BC,0.027540404
360,2,A0001_S121_L002,CD4+ TC,0.042129043
361,2,A0001_S121_L002,CD8+ TC,0.07164097
362,2,A0001_S121_L002,Cycling,0.010560498
363,2,A0001_S121_L002,Mature BC,0.3409809
364,2,A0001_S121_L002,Mono,0.34543753
365,2,A0001_S121_L002,NK,0.02965523
366,2,A0001_S121_L002,Neutro,0.0049525425
367,2,A0001_S121_L002,Plasma BC,0.06516823
368,2,A0001_S121_L002,Pre BC,0.087200075
369,2,A0015_S120_L002,CD4+ TC,0.045230873
370,2,A0015_S120_L002,CD8+ TC,0.07854237
371,2,A0015_S120_L002,Cycling,0.09369314
372,2,A0015_S120_L002,Mature BC,0.45279562
373,2,A0015_S120_L002,Mono,0.25558156
374,2,A0015_S120_L002,NK,0.038826883
375,2,A0015_S120_L002,Neutro,0.00935339
376,2,A0015_S120_L002,Plasma BC,0.015298009
377,2,A0015_S120_L002,Pre BC,0.008679062
378,2,A0029_S119_L002,CD4+ TC,0.07115209
379,2,A0029_S119_L002,CD8+ TC,0.057118136
380,2,A0029_S119_L002,Cycling,0.018366998
381,2,A0029_S119_L002,Mature BC,0.5100113
382,2,A0029_S119_L002,Mono,0.28757465
383,2,A0029_S119_L002,NK,0.029416379
384,2,A0029_S119_L002,Neutro,0.0054337364
385,2,A0029_S119_L002,Plasma BC,0.013439186
386,2,A0029_S119_L002,Pre BC,0.0065890243
387,2,A0043_S118_L002,CD4+ TC,0.04474613
388,2,A0043_S118_L002,CD8+ TC,0.06374334
389,2,A0043_S118_L002,Cycling,0.021464802
390,2,A0043_S118_L002,Mature BC,0.28779256
391,2,A0043_S118_L002,Mono,0.3902564
392,2,A0043_S118_L002,NK,0.024299808
393,2,A0043_S118_L002,Neutro,0.0066245124
394,2,A0043_S118_L002,Plasma BC,0.0536995
395,2,A0043_S118_L002,Pre BC,0.105282575
396,2,A0057_S117_L002,CD4+ TC,0.059900597
397,2,A0057_S117_L002,CD8+ TC,0.11748801
398,2,A0057_S117_L002,Cycling,0.031672575
399,2,A0057_S117_L002,Mature BC,0.53958344
400,2,A0057_S117_L002,Mono,0.16813283
401,2,A0057_S117_L002,NK,0.03812164
402,2,A0057_S117_L002,Neutro,0.006596363
403,2,A0057_S117_L002,Plasma BC,0.019135203
404,2,A0057_S117_L002,Pre BC,0.018826578
405,2,A0071_S116_L002,CD4+ TC,0.041317966
406,2,A0071_S116_L002,CD8+ TC,0.05480348
407,2,A0071_S116_L002,Cycling,0.033720236
408,2,A0071_S116_L002,Mature BC,0.6587578
409,2,A0071_S116_L002,Mono,0.08273316
410,2,A0071_S116_L002,NK,0.027185274
411,2,A0071_S116_L002,Neutro,0.004812613
412,2,A0071_S116_L002,Plasma BC,0.030041758
413,2,A0071_S116_L002,Pre BC,0.06465584
414,2,A0085_S115_L002,CD4+ TC,0.07524784
415,2,A0085_S115_L002,CD8+ TC,0.08466916
416,2,A0085_S115_L002,Cycling,0.08194055
417,2,A0085_S115_L002,Mature BC,0.5041955
418,2,A0085_S115_L002,Mono,0.12461725
419,2,A0085_S115_L002,NK,0.03436543
420,2,A0085_S115_L002,Neutro,0.0053078607
421,2,A0085_S115_L002,Plasma BC,0.02605172
422,2,A0085_S115_L002,Pre BC,0.062382758
